disease,precaution
drug reaction,stop irritation
drug reaction,consult nearest hospital
drug reaction,stop taking drug
drug reaction,follow up
malaria,consult nearest hospital
malaria,avoid oily food
malaria,avoid non veg food
malaria,keep mosquitos out
allergy,apply calamine
allergy,cover area with bandage
allergy,use ice to compress itching
hypothyroidism,reduce stress
hypothyroidism,exercise
hypothyroidism,eat healthy
hypothyroidism,get proper sleep
psoriasis,wash hands with warm soapy water
psoriasis,stop bleeding using pressure
psoriasis,consult doctor
psoriasis,salt baths
gerd,avoid fatty spicy food
gerd,avoid lying down after eating
gerd,maintain healthy weight
gerd,exercise
chronic cholestasis,cold baths
chronic cholestasis,anti itch medicine
chronic cholestasis,consult doctor
chronic cholestasis,eat healthy
hepatitis a,consult nearest hospital
hepatitis a,wash hands through
hepatitis a,avoid fatty spicy food
hepatitis a,medication
osteoarthristis,acetaminophen
osteoarthristis,consult nearest hospital
osteoarthristis,follow up
osteoarthristis,salt baths
(vertigo) paroymsal positional vertigo,lie down
(vertigo) paroymsal positional vertigo,avoid sudden change in body
(vertigo) paroymsal positional vertigo,avoid abrupt head movment
(vertigo) paroymsal positional vertigo,relax
hypoglycemia,lie down on side
hypoglycemia,check in pulse
hypoglycemia,drink sugary drinks
hypoglycemia,consult doctor
acne,bath twice
acne,avoid fatty spicy food
acne,drink plenty of water
acne,avoid too many products
diabetes,have balanced diet
diabetes,exercise
diabetes,consult doctor
diabetes,follow up
impetigo,soak affected area in warm water
impetigo,use antibiotics
impetigo,remove scabs with wet compressed cloth
impetigo,consult doctor
hypertension,meditation
hypertension,salt baths
hypertension,reduce stress
hypertension,get proper sleep
peptic ulcer diseae,avoid fatty spicy food
peptic ulcer diseae,consume probiotic food
peptic ulcer diseae,eliminate milk
peptic ulcer diseae,limit alcohol
dimorphic hemmorhoids(piles),avoid fatty spicy food
dimorphic hemmorhoids(piles),consume witch hazel
dimorphic hemmorhoids(piles),warm bath with epsom salt
dimorphic hemmorhoids(piles),consume alovera juice
common cold,drink vitamin c rich drinks
common cold,take vapour
common cold,avoid cold food
common cold,keep fever in check
chicken pox,use neem in bathing
chicken pox,consume neem leaves
chicken pox,take vaccine
chicken pox,avoid public places
cervical spondylosis,use heating pad or cold pack
cervical spondylosis,exercise
cervical spondylosis,take otc pain reliver
cervical spondylosis,consult doctor
hyperthyroidism,eat healthy
hyperthyroidism,massage
hyperthyroidism,use lemon balm
hyperthyroidism,take radioactive iodine treatment
urinary tract infection,drink plenty of water
urinary tract infection,increase vitamin c intake
urinary tract infection,drink cranberry juice
urinary tract infection,take probiotics
varicose veins,lie down flat and raise the leg high
varicose veins,use oinments
varicose veins,use vein compression
varicose veins,dont stand still for long
aids,avoid open cuts
aids,wear ppe if possible
aids,consult doctor
aids,follow up
paralysis (brain hemorrhage),massage
paralysis (brain hemorrhage),eat healthy
paralysis (brain hemorrhage),exercise
paralysis (brain hemorrhage),consult doctor
typhoid,eat high calorie vegitables
typhoid,antiboitic therapy
typhoid,consult doctor
typhoid,medication
hepatitis b,consult nearest hospital
hepatitis b,vaccination
hepatitis b,eat healthy
hepatitis b,medication
fungal infection,bath twice
fungal infection,use detol or neem in bathing water
fungal infection,keep infected area dry
fungal infection,use clean cloths
hepatitis c,consult nearest hospital
hepatitis c,vaccination
hepatitis c,eat healthy
hepatitis c,medication
migraine,meditation
migraine,reduce stress
migraine,use poloroid glasses in sun
migraine,consult doctor
bronchial asthma,switch to loose cloothing
bronchial asthma,take deep breaths
bronchial asthma,get away from trigger
bronchial asthma,seek help
alcoholic hepatitis,stop alcohol consumption
alcoholic hepatitis,consult doctor
alcoholic hepatitis,medication
alcoholic hepatitis,follow up
jaundice,drink plenty of water
jaundice,consume milk thistle
jaundice,eat fruits and high fiberous food
jaundice,medication
hepatitis e,stop alcohol consumption
hepatitis e,rest
hepatitis e,consult doctor
hepatitis e,medication
dengue,drink papaya leaf juice
dengue,avoid fatty spicy food
dengue,keep mosquitos away
dengue,keep hydrated
hepatitis d,consult doctor
hepatitis d,medication
hepatitis d,eat healthy
hepatitis d,follow up
heart attack,call ambulance
heart attack,chew or swallow asprin
heart attack,keep calm
pneumonia,consult doctor
pneumonia,medication
pneumonia,rest
pneumonia,follow up
arthritis,exercise
arthritis,use hot and cold therapy
arthritis,try acupuncture
arthritis,massage
gastroenteritis,stop eating solid food for while
gastroenteritis,try taking small sips of water
gastroenteritis,rest
gastroenteritis,ease back into eating
tuberculosis,cover mouth
tuberculosis,consult doctor
tuberculosis,medication
tuberculosis,rest
