disease,symptom
fungal infection,itching
fungal infection,skin_rash
fungal infection,nodal_skin_eruptions
fungal infection,dischromic _patches
allergy,continuous_sneezing
allergy,shivering
allergy,chills
allergy,watering_from_eyes
gerd,stomach_pain
gerd,acidity
gerd,ulcers_on_tongue
gerd,vomiting
gerd,cough
gerd,chest_pain
chronic cholestasis,itching
chronic cholestasis,vomiting
chronic cholestasis,yellowish_skin
chronic cholestasis,nausea
chronic cholestasis,loss_of_appetite
chronic cholestasis,abdominal_pain
chronic cholestasis,yellowing_of_eyes
drug reaction,itching
drug reaction,skin_rash
drug reaction,stomach_pain
drug reaction,burning_micturition
drug reaction,spotting_ urination
peptic ulcer diseae,vomiting
peptic ulcer diseae,loss_of_appetite
peptic ulcer diseae,abdominal_pain
peptic ulcer diseae,passage_of_gases
peptic ulcer diseae,internal_itching
peptic ulcer diseae,indigestion
aids,muscle_wasting
aids,patches_in_throat
aids,high_fever
aids,extra_marital_contacts
diabetes,fatigue
diabetes,weight_loss
diabetes,restlessness
diabetes,lethargy
diabetes,irregular_sugar_level
diabetes,blurred_and_distorted_vision
diabetes,obesity
diabetes,excessive_hunger
diabetes,increased_appetite
diabetes,polyuria
gastroenteritis,vomiting
gastroenteritis,sunken_eyes
gastroenteritis,dehydration
gastroenteritis,diarrhoea
bronchial asthma,fatigue
bronchial asthma,cough
bronchial asthma,high_fever
bronchial asthma,breathlessness
bronchial asthma,family_history
bronchial asthma,mucoid_sputum
hypertension,headache
hypertension,chest_pain
hypertension,dizziness
hypertension,loss_of_balance
hypertension,lack_of_concentration
migraine,acidity
migraine,indigestion
migraine,headache
migraine,blurred_and_distorted_vision
migraine,excessive_hunger
migraine,stiff_neck
migraine,depression
migraine,irritability
migraine,visual_disturbances
cervical spondylosis,back_pain
cervical spondylosis,weakness_in_limbs
cervical spondylosis,neck_pain
cervical spondylosis,dizziness
cervical spondylosis,loss_of_balance
paralysis (brain hemorrhage),vomiting
paralysis (brain hemorrhage),headache
paralysis (brain hemorrhage),weakness_of_one_body_side
paralysis (brain hemorrhage),altered_sensorium
jaundice,itching
jaundice,vomiting
jaundice,fatigue
jaundice,weight_loss
jaundice,high_fever
jaundice,yellowish_skin
jaundice,dark_urine
jaundice,abdominal_pain
malaria,chills
malaria,vomiting
malaria,high_fever
malaria,sweating
malaria,headache
malaria,nausea
malaria,muscle_pain
malaria,diarrhoea
chicken pox,itching
chicken pox,skin_rash
chicken pox,fatigue
chicken pox,lethargy
chicken pox,high_fever
chicken pox,headache
chicken pox,loss_of_appetite
chicken pox,mild_fever
chicken pox,swelled_lymph_nodes
chicken pox,malaise
chicken pox,red_spots_over_body
dengue,skin_rash
dengue,chills
dengue,joint_pain
dengue,vomiting
dengue,fatigue
dengue,high_fever
dengue,headache
dengue,nausea
dengue,loss_of_appetite
dengue,pain_behind_the_eyes
dengue,back_pain
dengue,muscle_pain
dengue,red_spots_over_body
dengue,malaise
typhoid,chills
typhoid,vomiting
typhoid,fatigue
typhoid,high_fever
typhoid,nausea
typhoid,constipation
typhoid,abdominal_pain
typhoid,diarrhoea
typhoid,toxic_look_(typhos)
typhoid,belly_pain
typhoid,headache
hepatitis a,joint_pain
hepatitis a,vomiting
hepatitis a,yellowish_skin
hepatitis a,dark_urine
hepatitis a,nausea
hepatitis a,loss_of_appetite
hepatitis a,abdominal_pain
hepatitis a,diarrhoea
hepatitis a,mild_fever
hepatitis a,yellowing_of_eyes
hepatitis a,muscle_pain
hepatitis b,itching
hepatitis b,fatigue
hepatitis b,lethargy
hepatitis b,yellowish_skin
hepatitis b,dark_urine
hepatitis b,loss_of_appetite
hepatitis b,abdominal_pain
hepatitis b,yellow_urine
hepatitis b,yellowing_of_eyes
hepatitis b,malaise
hepatitis b,receiving_blood_transfusion
hepatitis b,receiving_unsterile_injections
hepatitis c,fatigue
hepatitis c,yellowish_skin
hepatitis c,nausea
hepatitis c,loss_of_appetite
hepatitis c,family_history
hepatitis c,yellowing_of_eyes
hepatitis d,joint_pain
hepatitis d,vomiting
hepatitis d,fatigue
hepatitis d,yellowish_skin
hepatitis d,dark_urine
hepatitis d,nausea
hepatitis d,loss_of_appetite
hepatitis d,abdominal_pain
hepatitis d,yellowing_of_eyes
hepatitis e,joint_pain
hepatitis e,vomiting
hepatitis e,fatigue
hepatitis e,high_fever
hepatitis e,yellowish_skin
hepatitis e,dark_urine
hepatitis e,nausea
hepatitis e,loss_of_appetite
hepatitis e,abdominal_pain
hepatitis e,yellowing_of_eyes
hepatitis e,coma
hepatitis e,stomach_bleeding
hepatitis e,acute_liver_failure
alcoholic hepatitis,vomiting
alcoholic hepatitis,yellowish_skin
alcoholic hepatitis,abdominal_pain
